Probenahme_Pflanzen_ID,Versuchsjahr,Termin,Parzelle_ID,Bemerkungen_ID
2023,1977,,12007,
2024,1977,,12008,
2025,1977,,12009,
2026,1977,,12010,
2027,1977,,12011,
2028,1977,,12012,
2029,1977,,12013,
2030,1977,,12014,
2031,1977,,12015,
2032,1977,,12016,
2033,1977,,12017,
2034,1977,,12018,
2035,1977,,12019,
2036,1977,,12020,
2037,1977,,12021,
2038,1977,,12022,
2039,1977,,12023,
2040,1977,,12024,
2041,1977,,12025,
2042,1977,,12026,
2043,1977,,12027,
2044,1977,,12028,
2045,1977,,12029,
2046,1977,,12030,
2047,1977,,12031,
2048,1977,,12032,
2049,1977,,12033,
2050,1977,,12034,
2051,1977,,12035,
2052,1977,,12036,
2053,1977,,12037,
2054,1977,,12038,
2055,1977,,12039,
2056,1977,,12040,
2057,1977,,12041,
2058,1977,,12042,
2059,1977,,12043,
2060,1977,,12044,
2061,1977,,12045,
2062,1977,,12046,
2063,1977,,12047,
2064,1977,,12048,
2065,1977,,12049,
2066,1977,,12050,
2067,1977,,12051,
2068,1977,,12052,
2069,1977,,12053,
2070,1977,,12054,
2071,1977,,12055,
2072,1977,,12056,
2073,1977,,12057,
2074,1977,,12058,
2075,1977,,12059,
2076,1977,,12060,
2077,1977,,12061,
2078,1977,,12062,
2079,1977,,12063,
2080,1977,,12064,
2081,1977,,12065,
2082,1977,,12066,
2083,1977,,12067,
2084,1977,,12068,
2085,1977,,12069,
2086,1977,,12070,
2087,1977,,12071,
2088,1977,,12072,
2089,1977,,12073,
2090,1977,,12074,
2091,1977,,12075,
2092,1977,,12076,
2093,1977,,12077,
2094,1977,,12078,
2095,1977,,12079,
2096,1977,,12080,
2097,1977,,12081,
2098,1977,,12082,
2099,1977,,12083,
2100,1977,,12084,
2101,1977,,12085,
2102,1977,,12086,
2103,1977,,12087,
2104,1977,,12088,
2105,1977,,12089,
2106,1977,,12090,
2107,1977,,12091,
2108,1977,,12092,
2109,1977,,12093,
2110,1977,,12094,
2111,1977,,12095,
2112,1977,,12096,
2113,1977,,12097,
2114,1977,,12098,
2115,1977,,12099,
2116,1977,,12100,
2117,1977,,12101,
2118,1977,,12102,
2119,1977,,12103,
2120,1977,,12104,
2121,1977,,12105,
2122,1977,,12106,
2123,1977,,12107,
2124,1977,,12108,
2125,1977,,12109,
2126,1977,,12110,
2127,1977,,12111,
2128,1977,,12112,
2129,1977,,12113,
2130,1977,,12114,
2131,1977,,12115,
2132,1977,,12116,
2133,1977,,12117,
2134,1977,,12118,
2135,1977,,12119,
2136,1977,,12120,
2137,1977,,12121,
2138,1977,,12122,
2139,1977,,12123,
2140,1977,,12124,
2141,1977,,12125,
2142,1977,,12126,
2143,1977,,12127,
2144,1977,,12128,
2145,1977,,12129,
2146,1977,,12130,
2147,1977,,12131,
2148,1977,,12132,
2149,1977,,12133,
2150,1977,,12134,
2151,1977,,12135,
2152,1977,,12136,
2153,1977,,12137,
2154,1977,,12138,
2155,1977,,12139,
2156,1977,,12140,
2157,1977,,12141,
2158,1977,,12142,
2159,1977,,12143,
2160,1977,,12144,
2161,1977,,12145,
2162,1977,,12146,
2163,1977,,12147,
2164,1977,,12148,
2165,1977,,12149,
2166,1977,,12150,
2167,1977,,12151,
2168,1977,,12152,
2169,1977,,12153,
2170,1977,,12154,
2171,1977,,12155,
2172,1977,,12156,
2173,1977,,12157,
2174,1977,,12158,
2175,1977,,12159,
2176,1977,,12160,
2177,1977,,12161,
2178,1977,,12162,
2179,1977,,12163,
2180,1977,,12164,
2181,1977,,12165,
2182,1977,,12166,
2183,1977,,12167,
2184,1977,,12168,
2185,1978,,12001,
2186,1978,,12002,
2187,1978,,12003,
2188,1978,,12004,
2189,1978,,12005,
2190,1978,,12006,
2191,1978,,12007,
2192,1978,,12008,
2193,1978,,12009,
2194,1978,,12010,
2195,1978,,12011,
2196,1978,,12012,
2197,1978,,12013,
2198,1978,,12014,
2199,1978,,12015,
2200,1978,,12016,
2201,1978,,12017,
2202,1978,,12018,
2203,1978,,12019,
2204,1978,,12020,
2205,1978,,12021,
2206,1978,,12022,
2207,1978,,12023,
2208,1978,,12024,
2209,1978,,12025,
2210,1978,,12026,
2211,1978,,12027,
2212,1978,,12028,
2213,1978,,12029,
2214,1978,,12030,
2215,1978,,12031,
2216,1978,,12032,
2217,1978,,12033,
2218,1978,,12034,
2219,1978,,12035,
2220,1978,,12036,
2221,1978,,12037,
2222,1978,,12038,
2223,1978,,12039,
2224,1978,,12040,
2225,1978,,12041,
2226,1978,,12042,
2227,1978,,12043,
2228,1978,,12044,
2229,1978,,12045,
2230,1978,,12046,
2231,1978,,12047,
2232,1978,,12048,
2233,1978,,12049,
2234,1978,,12050,
2235,1978,,12051,
2236,1978,,12052,
2237,1978,,12053,
2238,1978,,12054,
2239,1978,,12055,
2240,1978,,12056,
2241,1978,,12057,
2242,1978,,12058,
2243,1978,,12059,
2244,1978,,12060,
2245,1978,,12061,
2246,1978,,12062,
2247,1978,,12063,
2248,1978,,12064,
2249,1978,,12065,
2250,1978,,12066,
2251,1978,,12067,
2252,1978,,12068,
2253,1978,,12069,
2254,1978,,12070,
2255,1978,,12071,
2256,1978,,12072,
2257,1978,,12073,
2258,1978,,12074,
2259,1978,,12075,
2260,1978,,12076,
2261,1978,,12077,
2262,1978,,12078,
2263,1978,,12079,
2264,1978,,12080,
2265,1978,,12081,
2266,1978,,12082,
2267,1978,,12083,
2268,1978,,12084,
2269,1978,,12085,
2270,1978,,12086,
2271,1978,,12087,
2272,1978,,12088,
2273,1978,,12089,
2274,1978,,12090,
2275,1978,,12091,
2276,1978,,12092,
2277,1978,,12093,
2278,1978,,12094,
2279,1978,,12095,
2280,1978,,12096,
2281,1978,,12097,
2282,1978,,12098,
2283,1978,,12099,
2284,1978,,12100,
2285,1978,,12101,
2286,1978,,12102,
2287,1978,,12103,
2288,1978,,12104,
2289,1978,,12105,
2290,1978,,12106,
2291,1978,,12107,
2292,1978,,12108,
2293,1978,,12109,
2294,1978,,12110,
2295,1978,,12111,
2296,1978,,12112,
2297,1978,,12113,
2298,1978,,12114,
2299,1978,,12115,
2300,1978,,12116,
2301,1978,,12117,
2302,1978,,12118,
2303,1978,,12119,
2304,1978,,12120,
2305,1978,,12121,
2306,1978,,12122,
2307,1978,,12123,
2308,1978,,12124,
2309,1978,,12125,
2310,1978,,12126,
2311,1978,,12127,
2312,1978,,12128,
2313,1978,,12129,
2314,1978,,12130,
2315,1978,,12131,
2316,1978,,12132,
2317,1978,,12133,
2318,1978,,12134,
2319,1978,,12135,
2320,1978,,12136,
2321,1978,,12137,
2322,1978,,12138,
2323,1978,,12139,
2324,1978,,12140,
2325,1978,,12141,
2326,1978,,12142,
2327,1978,,12143,
2328,1978,,12144,
2329,1978,,12145,
2330,1978,,12146,
2331,1978,,12147,
2332,1978,,12148,
2333,1978,,12149,
2334,1978,,12150,
2335,1978,,12151,
2336,1978,,12152,
2337,1978,,12153,
2338,1978,,12154,
2339,1978,,12155,
2340,1978,,12156,
2341,1978,,12157,
2342,1978,,12158,
2343,1978,,12159,
2344,1978,,12160,
2345,1978,,12161,
2346,1978,,12162,
2347,1978,,12163,
2348,1978,,12164,
2349,1978,,12165,
2350,1978,,12166,
2351,1978,,12167,
2352,1978,,12168,
2353,1979,,12001,
2354,1979,,12002,
2355,1979,,12003,
2356,1979,,12004,
2357,1979,,12005,
2358,1979,,12006,
2359,1979,,12007,
2360,1979,,12008,
2361,1979,,12009,
2362,1979,,12010,
2363,1979,,12011,
2364,1979,,12012,
2365,1979,,12013,
2366,1979,,12014,
2367,1979,,12015,
2368,1979,,12016,
2369,1979,,12017,
2370,1979,,12018,
2371,1979,,12019,
2372,1979,,12020,
2373,1979,,12021,
2374,1979,,12022,
2375,1979,,12023,
2376,1979,,12024,
2377,1979,,12025,
2378,1979,,12026,
2379,1979,,12027,
2380,1979,,12028,
2381,1979,,12029,
2382,1979,,12030,
2383,1979,,12031,
2384,1979,,12032,
2385,1979,,12033,
2386,1979,,12034,
2387,1979,,12035,
2388,1979,,12036,
2389,1979,,12037,
2390,1979,,12038,
2391,1979,,12039,
2392,1979,,12040,
2393,1979,,12041,
2394,1979,,12042,
2395,1979,,12043,
2396,1979,,12044,
2397,1979,,12045,
2398,1979,,12046,
2399,1979,,12047,
2400,1979,,12048,
2401,1979,,12049,
2402,1979,,12050,
2403,1979,,12051,
2404,1979,,12052,
2405,1979,,12053,
2406,1979,,12054,
2407,1979,,12055,
2408,1979,,12056,
2409,1979,,12057,
2410,1979,,12058,
2411,1979,,12059,
2412,1979,,12060,
2413,1979,,12061,
2414,1979,,12062,
2415,1979,,12063,
2416,1979,,12064,
2417,1979,,12065,
2418,1979,,12066,
2419,1979,,12067,
2420,1979,,12068,
2421,1979,,12069,
2422,1979,,12070,
2423,1979,,12071,
2424,1979,,12072,
2425,1979,,12073,
2426,1979,,12074,
2427,1979,,12075,
2428,1979,,12076,
2429,1979,,12077,
2430,1979,,12078,
2431,1979,,12079,
2432,1979,,12080,
2433,1979,,12081,
2434,1979,,12082,
2435,1979,,12083,
2436,1979,,12084,
2437,1979,,12085,
2438,1979,,12086,
2439,1979,,12087,
2440,1979,,12088,
2441,1979,,12089,
2442,1979,,12090,
2443,1979,,12091,
2444,1979,,12092,
2445,1979,,12093,
2446,1979,,12094,
2447,1979,,12095,
2448,1979,,12096,
2449,1979,,12097,
2450,1979,,12098,
2451,1979,,12099,
2452,1979,,12100,
2453,1979,,12101,
2454,1979,,12102,
2455,1979,,12103,
