Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_Anzahl,Saatstaerke_kg_ha,Reihenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID,Bemerkungen_ID
175,1964,1963-09-25T00:00:00,,12028,,150,15.4,2,,,
176,1964,1963-09-25T00:00:00,,12029,,150,15.4,2,,,
177,1964,1963-09-25T00:00:00,,12030,,150,15.4,2,,,
178,1964,1963-09-25T00:00:00,,12031,,150,15.4,2,,,
179,1964,1963-09-25T00:00:00,,12032,,150,15.4,2,,,
180,1964,1963-09-25T00:00:00,,12033,,150,15.4,2,,,
181,1964,1963-09-25T00:00:00,,12034,,150,15.4,2,,,
182,1964,1963-09-25T00:00:00,,12035,,150,15.4,2,,,
183,1964,1963-09-25T00:00:00,,12036,,150,15.4,2,,,
184,1964,1963-09-25T00:00:00,,12037,,150,15.4,2,,,
185,1964,1963-09-25T00:00:00,,12038,,150,15.4,2,,,
186,1964,1963-09-25T00:00:00,,12039,,150,15.4,2,,,
187,1964,1963-09-25T00:00:00,,12040,,150,15.4,2,,,
188,1964,1963-09-25T00:00:00,,12041,,150,15.4,2,,,
189,1964,1963-09-25T00:00:00,,12042,,150,15.4,2,,,
190,1964,1963-09-25T00:00:00,,12043,,150,15.4,2,,,
191,1964,1963-09-25T00:00:00,,12044,,150,15.4,2,,,
192,1964,1963-09-25T00:00:00,,12045,,150,15.4,2,,,
193,1964,1963-09-25T00:00:00,,12046,,150,15.4,2,,,
194,1964,1963-09-25T00:00:00,,12047,,150,15.4,2,,,
195,1964,1963-09-25T00:00:00,,12048,,150,15.4,2,,,
196,1964,1963-09-25T00:00:00,,12049,,150,15.4,2,,,
197,1964,1963-09-25T00:00:00,,12050,,150,15.4,2,,,
198,1964,1963-09-25T00:00:00,,12051,,150,15.4,2,,,
199,1964,1963-09-25T00:00:00,,12052,,150,15.4,2,,,
200,1964,1963-09-25T00:00:00,,12053,,150,15.4,2,,,
201,1964,1963-09-25T00:00:00,,12054,,150,15.4,2,,,
202,1964,1963-09-25T00:00:00,,12055,,150,15.4,2,,,
203,1964,1963-09-25T00:00:00,,12056,,150,15.4,2,,,
204,1964,1963-09-25T00:00:00,,12057,,150,15.4,2,,,
205,1964,1963-09-25T00:00:00,,12058,,150,15.4,2,,,
206,1964,1963-09-25T00:00:00,,12059,,150,15.4,2,,,
207,1964,1963-09-25T00:00:00,,12060,,150,15.4,2,,,
208,1964,1963-09-25T00:00:00,,12061,,150,15.4,2,,,
209,1964,1963-09-25T00:00:00,,12062,,150,15.4,2,,,
210,1964,1963-09-25T00:00:00,,12063,,150,15.4,2,,,
211,1964,1963-09-25T00:00:00,,12064,,150,15.4,2,,,
212,1964,1963-09-25T00:00:00,,12065,,150,15.4,2,,,
213,1964,1963-09-25T00:00:00,,12066,,150,15.4,2,,,
214,1964,1963-09-25T00:00:00,,12067,,150,15.4,2,,,
215,1964,1963-09-25T00:00:00,,12068,,150,15.4,2,,,
216,1964,1963-09-25T00:00:00,,12069,,150,15.4,2,,,
217,1964,1963-09-25T00:00:00,,12070,,150,15.4,2,,,
218,1964,1963-09-25T00:00:00,,12071,,150,15.4,2,,,
219,1964,1963-09-25T00:00:00,,12072,,150,15.4,2,,,
220,1964,1963-09-25T00:00:00,,12073,,150,15.4,2,,,
221,1964,1963-09-25T00:00:00,,12074,,150,15.4,2,,,
222,1964,1963-09-25T00:00:00,,12075,,150,15.4,2,,,
223,1964,1963-09-25T00:00:00,,12076,,150,15.4,2,,,
224,1964,1963-09-25T00:00:00,,12077,,150,15.4,2,,,
225,1964,1963-09-25T00:00:00,,12078,,150,15.4,2,,,
226,1964,1963-09-25T00:00:00,,12079,,150,15.4,2,,,
227,1964,1963-09-25T00:00:00,,12080,,150,15.4,2,,,
228,1964,1963-09-25T00:00:00,,12081,,150,15.4,2,,,
229,1964,1963-09-25T00:00:00,,12082,,150,15.4,2,,,
230,1964,1963-09-25T00:00:00,,12083,,150,15.4,2,,,
231,1964,1963-09-25T00:00:00,,12084,,150,15.4,2,,,
232,1964,1963-09-25T00:00:00,,12085,,150,15.4,2,,,
