Beregnung_ID,Versuchsjahr,Termin,Parzelle_ID,Menge,Bemerkungen_ID
250,1974,1974-06-21T00:00:00,12144,20,
251,1974,1974-06-21T00:00:00,12022,20,
252,1974,1974-06-21T00:00:00,12147,20,
253,1975,1975-06-21T00:00:00,12022,20,
254,1975,1975-06-21T00:00:00,12144,20,
255,1975,1975-06-21T00:00:00,12122,20,
256,1975,1975-06-21T00:00:00,12146,20,
257,1975,1975-06-21T00:00:00,12145,20,
258,1975,1975-06-21T00:00:00,12143,20,
259,1975,1975-06-21T00:00:00,12142,20,
260,1975,1975-06-21T00:00:00,12141,20,
261,1975,1975-06-21T00:00:00,12140,20,
262,1975,1975-06-21T00:00:00,12139,20,
263,1975,1975-06-21T00:00:00,12138,20,
264,1975,1975-06-21T00:00:00,12137,20,
265,1975,1975-06-21T00:00:00,12136,20,
266,1975,1975-06-21T00:00:00,12135,20,
267,1975,1975-06-21T00:00:00,12134,20,
268,1975,1975-06-21T00:00:00,12133,20,
269,1975,1975-06-21T00:00:00,12132,20,
270,1975,1975-06-21T00:00:00,12131,20,
271,1975,1975-06-21T00:00:00,12130,20,
272,1975,1975-06-21T00:00:00,12129,20,
273,1975,1975-06-21T00:00:00,12128,20,
274,1975,1975-06-21T00:00:00,12127,20,
275,1975,1975-06-21T00:00:00,12126,20,
276,1975,1975-06-21T00:00:00,12125,20,
277,1975,1975-06-21T00:00:00,12124,20,
278,1975,1975-06-21T00:00:00,12123,20,
279,1975,1975-06-21T00:00:00,12121,20,
280,1975,1975-06-21T00:00:00,12120,20,
281,1975,1975-06-21T00:00:00,12147,20,
282,1975,1975-06-21T00:00:00,12119,20,
283,1975,1975-06-21T00:00:00,12118,20,
284,1975,1975-06-21T00:00:00,12117,20,
285,1975,1975-06-21T00:00:00,12116,20,
286,1975,1975-06-21T00:00:00,12115,20,
287,1975,1975-06-21T00:00:00,12114,20,
288,1975,1975-06-21T00:00:00,12113,20,
289,1975,1975-06-21T00:00:00,12112,20,
290,1975,1975-06-21T00:00:00,12111,20,
291,1975,1975-06-21T00:00:00,12110,20,
292,1975,1975-06-21T00:00:00,12109,20,
293,1975,1975-06-21T00:00:00,12108,20,
294,1975,1975-06-21T00:00:00,12107,20,
295,1975,1975-06-21T00:00:00,12106,20,
296,1975,1975-06-21T00:00:00,12063,20,
297,1975,1975-06-21T00:00:00,12062,20,
298,1975,1975-06-21T00:00:00,12061,20,
299,1975,1975-06-21T00:00:00,12060,20,
300,1975,1975-06-21T00:00:00,12059,20,
301,1975,1975-06-21T00:00:00,12058,20,
302,1975,1975-06-21T00:00:00,12057,20,
303,1975,1975-06-21T00:00:00,12056,20,
304,1975,1975-06-21T00:00:00,12055,20,
305,1975,1975-06-21T00:00:00,12054,20,
306,1975,1975-06-21T00:00:00,12053,20,
307,1975,1975-06-21T00:00:00,12052,20,
308,1975,1975-06-21T00:00:00,12051,20,
309,1975,1975-06-21T00:00:00,12050,20,
310,1975,1975-06-21T00:00:00,12049,20,
311,1975,1975-06-21T00:00:00,12048,20,
312,1975,1975-06-21T00:00:00,12047,20,
313,1975,1975-06-21T00:00:00,12046,20,
314,1975,1975-06-21T00:00:00,12045,20,
315,1975,1975-06-21T00:00:00,12044,20,
316,1975,1975-06-21T00:00:00,12043,20,
317,1975,1975-06-21T00:00:00,12042,20,
318,1975,1975-06-21T00:00:00,12041,20,
319,1975,1975-06-21T00:00:00,12040,20,
320,1975,1975-06-21T00:00:00,12039,20,
321,1975,1975-06-21T00:00:00,12038,20,
322,1975,1975-06-21T00:00:00,12037,20,
323,1975,1975-06-21T00:00:00,12036,20,
324,1975,1975-06-21T00:00:00,12035,20,
325,1975,1975-06-21T00:00:00,12034,20,
326,1975,1975-06-21T00:00:00,12033,20,
327,1975,1975-06-21T00:00:00,12032,20,
328,1975,1975-06-21T00:00:00,12031,20,
329,1975,1975-06-21T00:00:00,12030,20,
330,1975,1975-06-21T00:00:00,12029,20,
331,1975,1975-06-21T00:00:00,12028,20,
332,1975,1975-06-21T00:00:00,12027,20,
333,1975,1975-06-21T00:00:00,12026,20,
334,1975,1975-06-21T00:00:00,12025,20,
335,1975,1975-06-21T00:00:00,12024,20,
336,1975,1975-06-21T00:00:00,12023,20,
337,1975,1975-06-27T00:00:00,12023,20,
338,1975,1975-06-27T00:00:00,12024,20,
339,1975,1975-06-27T00:00:00,12025,20,
