Versuchsaufbau_ID,Versuchsjahr,Parzelle_ID,Kultur_ID,Pruefglied_ID,Bewaesserung,Wiederholung
3001,1981,12166,9,18,0,1
3002,1981,12167,9,20,0,1
3003,1981,12168,9,2,0,1
3004,1982,12001,5,13,0,1
3005,1982,12002,5,15,0,1
3006,1982,12003,5,9,0,1
3007,1982,12004,5,3,0,1
3008,1982,12005,5,8,0,1
3009,1982,12006,5,12,0,1
3010,1982,12007,5,1,0,1
3011,1982,12008,5,14,0,1
3012,1982,12009,5,17,0,1
3013,1982,12010,5,4,0,1
3014,1982,12011,5,16,0,1
3015,1982,12012,5,21,0,1
3016,1982,12013,5,10,0,1
3017,1982,12014,5,7,0,1
3018,1982,12015,5,19,0,1
3019,1982,12016,5,11,0,1
3020,1982,12017,5,5,0,1
3021,1982,12018,5,6,0,1
3022,1982,12019,5,18,0,1
3023,1982,12020,5,20,0,1
3024,1982,12021,5,2,0,1
3025,1982,12022,5,7,0,1
3026,1982,12023,5,6,0,1
3027,1982,12024,5,16,0,1
3028,1982,12025,5,9,0,1
3029,1982,12026,5,15,0,1
3030,1982,12027,5,4,0,1
3031,1982,12028,5,8,0,1
3032,1982,12029,5,5,0,1
3033,1982,12030,5,13,0,1
3034,1982,12031,5,12,0,1
3035,1982,12032,5,18,0,1
3036,1982,12033,5,1,0,1
3037,1982,12034,5,14,0,1
3038,1982,12035,5,17,0,1
3039,1982,12036,5,21,0,1
3040,1982,12037,5,20,0,1
3041,1982,12038,5,19,0,1
3042,1982,12039,5,10,0,1
3043,1982,12040,5,11,0,1
3044,1982,12041,5,2,0,1
3045,1982,12042,5,3,0,1
3046,1982,12043,5,10,0,1
3047,1982,12044,5,14,0,1
3048,1982,12045,5,21,0,1
3049,1982,12046,5,8,0,1
3050,1982,12047,5,7,0,1
3051,1982,12048,5,15,0,1
3052,1982,12049,5,12,0,1
3053,1982,12050,5,6,0,1
3054,1982,12051,5,9,0,1
3055,1982,12052,5,20,0,1
3056,1982,12053,5,19,0,1
3057,1982,12054,5,16,0,1
3058,1982,12055,5,18,0,1
3059,1982,12056,5,4,0,1
3060,1982,12057,5,3,0,1
3061,1982,12058,5,5,0,1
3062,1982,12059,5,17,0,1
3063,1982,12060,5,1,0,1
3064,1982,12061,5,2,0,1
3065,1982,12062,5,11,0,1
3066,1982,12063,5,13,0,1
3067,1982,12064,5,11,0,1
3068,1982,12065,5,2,0,1
3069,1982,12066,5,6,0,1
3070,1982,12067,5,12,0,1
3071,1982,12068,5,19,0,1
3072,1982,12069,5,7,0,1
3073,1982,12070,5,18,0,1
3074,1982,12071,5,20,0,1
3075,1982,12072,5,3,0,1
3076,1982,12073,5,13,0,1
3077,1982,12074,5,21,0,1
3078,1982,12075,5,17,0,1
3079,1982,12076,5,9,0,1
3080,1982,12077,5,5,0,1
3081,1982,12078,5,15,0,1
3082,1982,12079,5,16,0,1
3083,1982,12080,5,8,0,1
3084,1982,12081,5,4,0,1
3085,1982,12082,5,10,0,1
3086,1982,12083,5,1,0,1
3087,1982,12084,5,14,0,1
3088,1982,12085,5,2,0,1
3089,1982,12086,5,7,0,1
3090,1982,12087,5,11,0,1
3091,1982,12088,5,17,0,1
3092,1982,12089,5,4,0,1
3093,1982,12090,5,3,0,1
3094,1982,12091,5,10,0,1
3095,1982,12092,5,9,0,1
3096,1982,12093,5,18,0,1
3097,1982,12094,5,14,0,1
3098,1982,12095,5,5,0,1
3099,1982,12096,5,20,0,1
3100,1982,12097,5,21,0,1
3101,1982,12098,5,15,0,1
3102,1982,12099,5,16,0,1
3103,1982,12100,5,8,0,1
3104,1982,12101,5,1,0,1
3105,1982,12102,5,13,0,1
3106,1982,12103,5,12,0,1
3107,1982,12104,5,6,0,1
3108,1982,12105,5,19,0,1
3109,1982,12106,5,12,0,1
3110,1982,12107,5,1,0,1
3111,1982,12108,5,10,0,1
3112,1982,12109,5,11,0,1
3113,1982,12110,5,13,0,1
3114,1982,12111,5,5,0,1
3115,1982,12112,5,6,0,1
3116,1982,12113,5,8,0,1
