Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID,Bemerkungen_ID
11691,1983,1983-03-29T00:00:00,12162,,91,59,
11692,1983,1983-03-29T00:00:00,12163,,91,59,
11693,1983,1983-03-29T00:00:00,12164,,91,59,
11694,1983,1983-03-29T00:00:00,12165,,91,59,
11695,1983,1983-03-29T00:00:00,12166,,91,59,
11696,1983,1983-03-29T00:00:00,12167,,91,59,
11697,1983,1983-03-29T00:00:00,12168,,91,59,
11698,1984,1983-10-05T00:00:00,12001,20,14,64,
11699,1984,1983-10-05T00:00:00,12002,20,14,64,
11700,1984,1983-10-05T00:00:00,12003,20,14,64,
11701,1984,1983-10-05T00:00:00,12004,20,14,64,
11702,1984,1983-10-05T00:00:00,12005,20,14,64,
11703,1984,1983-10-05T00:00:00,12006,20,14,64,
11704,1984,1983-10-05T00:00:00,12007,20,14,64,
11705,1984,1983-10-05T00:00:00,12008,20,14,64,
11706,1984,1983-10-05T00:00:00,12009,20,14,64,
11707,1984,1983-10-05T00:00:00,12010,20,14,64,
11708,1984,1983-10-05T00:00:00,12011,20,14,64,
11709,1984,1983-10-05T00:00:00,12012,20,14,64,
11710,1984,1983-10-05T00:00:00,12013,20,14,64,
11711,1984,1983-10-05T00:00:00,12014,20,14,64,
11712,1984,1983-10-05T00:00:00,12015,20,14,64,
11713,1984,1983-10-05T00:00:00,12016,20,14,64,
11714,1984,1983-10-05T00:00:00,12017,20,14,64,
11715,1984,1983-10-05T00:00:00,12018,20,14,64,
11716,1984,1983-10-05T00:00:00,12019,20,14,64,
11717,1984,1983-10-05T00:00:00,12020,20,14,64,
11718,1984,1983-10-05T00:00:00,12021,20,14,64,
11719,1984,1983-10-05T00:00:00,12022,20,14,64,
11720,1984,1983-10-05T00:00:00,12023,20,14,64,
11721,1984,1983-10-05T00:00:00,12024,20,14,64,
11722,1984,1983-10-05T00:00:00,12025,20,14,64,
11723,1984,1983-10-05T00:00:00,12026,20,14,64,
11724,1984,1983-10-05T00:00:00,12027,20,14,64,
11725,1984,1983-10-05T00:00:00,12028,20,14,64,
11726,1984,1983-10-05T00:00:00,12029,20,14,64,
11727,1984,1983-10-05T00:00:00,12030,20,14,64,
11728,1984,1983-10-05T00:00:00,12031,20,14,64,
11729,1984,1983-10-05T00:00:00,12032,20,14,64,
11730,1984,1983-10-05T00:00:00,12033,20,14,64,
11731,1984,1983-10-05T00:00:00,12034,20,14,64,
11732,1984,1983-10-05T00:00:00,12035,20,14,64,
11733,1984,1983-10-05T00:00:00,12036,20,14,64,
11734,1984,1983-10-05T00:00:00,12037,20,14,64,
11735,1984,1983-10-05T00:00:00,12038,20,14,64,
11736,1984,1983-10-05T00:00:00,12039,20,14,64,
11737,1984,1983-10-05T00:00:00,12040,20,14,64,
11738,1984,1983-10-05T00:00:00,12041,20,14,64,
11739,1984,1983-10-05T00:00:00,12042,20,14,64,
11740,1984,1983-10-05T00:00:00,12043,20,14,64,
11741,1984,1983-10-05T00:00:00,12044,20,14,64,
11742,1984,1983-10-05T00:00:00,12045,20,14,64,
11743,1984,1983-10-05T00:00:00,12046,20,14,64,
11744,1984,1983-10-05T00:00:00,12047,20,14,64,
11745,1984,1983-10-05T00:00:00,12048,20,14,64,
11746,1984,1983-10-05T00:00:00,12049,20,14,64,
11747,1984,1983-10-05T00:00:00,12050,20,14,64,
11748,1984,1983-10-05T00:00:00,12051,20,14,64,
11749,1984,1983-10-05T00:00:00,12052,20,14,64,
11750,1984,1983-10-05T00:00:00,12053,20,14,64,
11751,1984,1983-10-05T00:00:00,12054,20,14,64,
11752,1984,1983-10-05T00:00:00,12055,20,14,64,
11753,1984,1983-10-05T00:00:00,12056,20,14,64,
11754,1984,1983-10-05T00:00:00,12057,20,14,64,
11755,1984,1983-10-05T00:00:00,12058,20,14,64,
11756,1984,1983-10-05T00:00:00,12059,20,14,64,
11757,1984,1983-10-05T00:00:00,12060,20,14,64,
11758,1984,1983-10-05T00:00:00,12061,20,14,64,
11759,1984,1983-10-05T00:00:00,12062,20,14,64,
11760,1984,1983-10-05T00:00:00,12063,20,14,64,
11761,1984,1983-10-05T00:00:00,12064,20,14,64,
11762,1984,1983-10-05T00:00:00,12065,20,14,64,
11763,1984,1983-10-05T00:00:00,12066,20,14,64,
11764,1984,1983-10-05T00:00:00,12067,20,14,64,
11765,1984,1983-10-05T00:00:00,12068,20,14,64,
11766,1984,1983-10-05T00:00:00,12069,20,14,64,
11767,1984,1983-10-05T00:00:00,12070,20,14,64,
11768,1984,1983-10-05T00:00:00,12071,20,14,64,
11769,1984,1983-10-05T00:00:00,12072,20,14,64,
11770,1984,1983-10-05T00:00:00,12073,20,14,64,
11771,1984,1983-10-05T00:00:00,12074,20,14,64,
11772,1984,1983-10-05T00:00:00,12075,20,14,64,
11773,1984,1983-10-05T00:00:00,12076,20,14,64,
11774,1984,1983-10-05T00:00:00,12077,20,14,64,
11775,1984,1983-10-05T00:00:00,12078,20,14,64,
11776,1984,1983-10-05T00:00:00,12079,20,14,64,
11777,1984,1983-10-05T00:00:00,12080,20,14,64,
11778,1984,1983-10-05T00:00:00,12081,20,14,64,
11779,1984,1983-10-05T00:00:00,12082,20,14,64,
11780,1984,1983-10-05T00:00:00,12083,20,14,64,
11781,1984,1983-10-05T00:00:00,12084,20,14,64,
11782,1984,1983-10-05T00:00:00,12085,20,14,64,
11783,1984,1983-10-05T00:00:00,12086,20,14,64,
11784,1984,1983-10-05T00:00:00,12087,20,14,64,
11785,1984,1983-10-05T00:00:00,12088,20,14,64,
11786,1984,1983-10-05T00:00:00,12089,20,14,64,
11787,1984,1983-10-05T00:00:00,12090,20,14,64,
11788,1984,1983-10-05T00:00:00,12091,20,14,64,
11789,1984,1983-10-05T00:00:00,12092,20,14,64,
11790,1984,1983-10-05T00:00:00,12093,20,14,64,
11791,1984,1983-10-05T00:00:00,12094,20,14,64,
11792,1984,1983-10-05T00:00:00,12095,20,14,64,
11793,1984,1983-10-05T00:00:00,12096,20,14,64,
11794,1984,1983-10-05T00:00:00,12097,20,14,64,
11795,1984,1983-10-05T00:00:00,12098,20,14,64,
11796,1984,1983-10-05T00:00:00,12099,20,14,64,
11797,1984,1983-10-05T00:00:00,12100,20,14,64,
11798,1984,1983-10-05T00:00:00,12101,20,14,64,
11799,1984,1983-10-05T00:00:00,12102,20,14,64,
11800,1984,1983-10-05T00:00:00,12103,20,14,64,
11801,1984,1983-10-05T00:00:00,12104,20,14,64,
11802,1984,1983-10-05T00:00:00,12105,20,14,64,
11803,1984,1983-10-05T00:00:00,12106,20,14,64,
11804,1984,1983-10-05T00:00:00,12107,20,14,64,
11805,1984,1983-10-05T00:00:00,12108,20,14,64,
11806,1984,1983-10-05T00:00:00,12109,20,14,64,
11807,1984,1983-10-05T00:00:00,12110,20,14,64,
11808,1984,1983-10-05T00:00:00,12111,20,14,64,
11809,1984,1983-10-05T00:00:00,12112,20,14,64,
11810,1984,1983-10-05T00:00:00,12113,20,14,64,
11811,1984,1983-10-05T00:00:00,12114,20,14,64,
11812,1984,1983-10-05T00:00:00,12115,20,14,64,
11813,1984,1983-10-05T00:00:00,12116,20,14,64,
11814,1984,1983-10-05T00:00:00,12117,20,14,64,
11815,1984,1983-10-05T00:00:00,12118,20,14,64,
11816,1984,1983-10-05T00:00:00,12119,20,14,64,
11817,1984,1983-10-05T00:00:00,12120,20,14,64,
11818,1984,1983-10-05T00:00:00,12121,20,14,64,
11819,1984,1983-10-05T00:00:00,12122,20,14,64,
11820,1984,1983-10-05T00:00:00,12123,20,14,64,
11821,1984,1983-10-05T00:00:00,12124,20,14,64,
11822,1984,1983-10-05T00:00:00,12125,20,14,64,
11823,1984,1983-10-05T00:00:00,12126,20,14,64,
11824,1984,1983-10-05T00:00:00,12127,20,14,64,
11825,1984,1983-10-05T00:00:00,12128,20,14,64,
