Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID
276,1985,1984-11-15T00:00:00,107,25,8,4
277,1985,1984-11-15T00:00:00,20,25,8,4
278,1985,1984-11-15T00:00:00,71,25,8,4
279,1985,1984-11-15T00:00:00,110,25,8,4
280,1985,1984-11-15T00:00:00,35,25,8,4
281,1985,1984-11-15T00:00:00,74,25,8,4
282,1985,1984-11-15T00:00:00,125,25,8,4
283,1985,1984-11-15T00:00:00,38,25,8,4
284,1985,1984-11-15T00:00:00,89,25,8,4
285,1985,1984-11-15T00:00:00,128,25,8,4
286,1985,1984-11-15T00:00:00,3,25,8,4
287,1985,1984-11-15T00:00:00,52,25,8,4
288,1985,1984-11-15T00:00:00,93,25,8,4
289,1985,1984-11-15T00:00:00,16,25,8,4
290,1985,1984-11-15T00:00:00,57,25,8,4
291,1985,1984-11-15T00:00:00,106,25,8,4
292,1985,1984-11-15T00:00:00,21,25,8,4
293,1985,1984-11-15T00:00:00,70,25,8,4
294,1985,1984-11-15T00:00:00,111,25,8,4
295,1985,1984-11-15T00:00:00,34,25,8,4
296,1985,1984-11-15T00:00:00,75,25,8,4
297,1985,1984-11-15T00:00:00,124,25,8,4
298,1985,1984-11-15T00:00:00,39,25,8,4
299,1985,1984-11-15T00:00:00,88,25,8,4
300,1985,1984-11-15T00:00:00,129,25,8,4
301,1985,1985-04-20T00:00:00,1,6.5,9,5
302,1985,1985-04-20T00:00:00,54,6.5,9,5
303,1985,1985-04-20T00:00:00,91,6.5,9,5
304,1985,1985-04-20T00:00:00,18,6.5,9,5
305,1985,1985-04-20T00:00:00,55,6.5,9,5
306,1985,1985-04-20T00:00:00,108,6.5,9,5
307,1985,1985-04-20T00:00:00,19,6.5,9,5
308,1985,1985-04-20T00:00:00,72,6.5,9,5
309,1985,1985-04-20T00:00:00,109,6.5,9,5
310,1985,1985-04-20T00:00:00,36,6.5,9,5
311,1985,1985-04-20T00:00:00,73,6.5,9,5
312,1985,1985-04-20T00:00:00,126,6.5,9,5
313,1985,1985-04-20T00:00:00,37,6.5,9,5
314,1985,1985-04-20T00:00:00,90,6.5,9,5
315,1985,1985-04-20T00:00:00,127,6.5,9,5
316,1985,1985-04-20T00:00:00,2,6.5,9,5
317,1985,1985-04-20T00:00:00,53,6.5,9,5
318,1985,1985-04-20T00:00:00,92,6.5,9,5
319,1985,1985-04-20T00:00:00,17,6.5,9,5
320,1985,1985-04-20T00:00:00,56,6.5,9,5
321,1985,1985-04-20T00:00:00,107,6.5,9,5
322,1985,1985-04-20T00:00:00,20,6.5,9,5
323,1985,1985-04-20T00:00:00,71,6.5,9,5
324,1985,1985-04-20T00:00:00,110,6.5,9,5
325,1985,1985-04-20T00:00:00,35,6.5,9,5
326,1985,1985-04-20T00:00:00,74,6.5,9,5
327,1985,1985-04-20T00:00:00,125,6.5,9,5
328,1985,1985-04-20T00:00:00,38,6.5,9,5
329,1985,1985-04-20T00:00:00,89,6.5,9,5
330,1985,1985-04-20T00:00:00,128,6.5,9,5
331,1985,1985-04-20T00:00:00,3,6.5,9,5
332,1985,1985-04-20T00:00:00,52,6.5,9,5
333,1985,1985-04-20T00:00:00,93,6.5,9,5
334,1985,1985-04-20T00:00:00,16,6.5,9,5
335,1985,1985-04-20T00:00:00,57,6.5,9,5
336,1985,1985-04-20T00:00:00,106,6.5,9,5
337,1985,1985-04-20T00:00:00,21,6.5,9,5
338,1985,1985-04-20T00:00:00,70,6.5,9,5
339,1985,1985-04-20T00:00:00,111,6.5,9,5
340,1985,1985-04-20T00:00:00,34,6.5,9,5
341,1985,1985-04-20T00:00:00,75,6.5,9,5
342,1985,1985-04-20T00:00:00,124,6.5,9,5
343,1985,1985-04-20T00:00:00,39,6.5,9,5
