Versuchsaufbau_ID,Versuchsjahr,Parzelle_ID,Kultur_ID,Pruefglied_ID
1241,1993,74,4,9
1242,1993,125,4,9
1243,1993,38,4,10
1244,1993,89,4,10
1245,1993,128,4,10
1246,1993,3,4,11
1247,1993,52,4,11
1248,1993,93,4,11
1249,1993,16,4,12
1250,1993,57,4,12
1251,1993,106,4,12
1252,1993,21,4,13
1253,1993,70,4,13
1254,1993,111,4,13
1255,1993,34,4,14
1256,1993,75,4,14
1257,1993,124,4,14
1258,1993,39,4,15
1259,1993,88,4,15
1260,1993,129,4,15
1261,1994,1,6,1
1262,1994,54,6,1
1263,1994,91,6,1
1264,1994,18,6,2
1265,1994,55,6,2
1266,1994,108,6,2
1267,1994,19,6,3
1268,1994,72,6,3
1269,1994,109,6,3
1270,1994,36,6,4
1271,1994,73,6,4
1272,1994,126,6,4
1273,1994,37,6,5
1274,1994,90,6,5
1275,1994,127,6,5
1276,1994,2,6,6
1277,1994,53,6,6
1278,1994,92,6,6
1279,1994,17,6,7
1280,1994,56,6,7
1281,1994,107,6,7
1282,1994,20,6,8
1283,1994,71,6,8
1284,1994,110,6,8
1285,1994,35,6,9
1286,1994,74,6,9
1287,1994,125,6,9
1288,1994,38,6,10
1289,1994,89,6,10
1290,1994,128,6,10
1291,1994,3,6,11
1292,1994,52,6,11
1293,1994,93,6,11
1294,1994,16,6,12
1295,1994,57,6,12
1296,1994,106,6,12
1297,1994,21,6,13
1298,1994,70,6,13
1299,1994,111,6,13
1300,1994,34,6,14
1301,1994,75,6,14
1302,1994,124,6,14
1303,1994,39,6,15
1304,1994,88,6,15
1305,1994,129,6,15
1306,1994,4,5,1
1307,1994,51,5,1
1308,1994,94,5,1
1309,1994,15,5,2
1310,1994,58,5,2
1311,1994,105,5,2
1312,1994,22,5,3
1313,1994,69,5,3
1314,1994,112,5,3
1315,1994,33,5,4
1316,1994,76,5,4
1317,1994,123,5,4
1318,1994,40,5,5
1319,1994,87,5,5
1320,1994,130,5,5
1321,1994,5,5,6
1322,1994,50,5,6
1323,1994,95,5,6
1324,1994,14,5,7
1325,1994,59,5,7
1326,1994,104,5,7
1327,1994,23,5,8
1328,1994,68,5,8
1329,1994,113,5,8
1330,1994,32,5,9
1331,1994,77,5,9
1332,1994,122,5,9
1333,1994,41,5,10
1334,1994,86,5,10
1335,1994,131,5,10
1336,1994,6,5,11
1337,1994,49,5,11
1338,1994,96,5,11
1339,1994,13,5,12
1340,1994,60,5,12
1341,1994,103,5,12
1342,1994,24,5,13
1343,1994,67,5,13
1344,1994,114,5,13
1345,1994,31,5,14
1346,1994,78,5,14
1347,1994,121,5,14
1348,1994,42,5,15
1349,1994,85,5,15
1350,1994,132,5,15
1351,1994,7,4,1
1352,1994,48,4,1
1353,1994,97,4,1
1354,1994,12,4,2
1355,1994,61,4,2
1356,1994,102,4,2
1357,1994,25,4,3
1358,1994,66,4,3
1359,1994,115,4,3
1360,1994,30,4,4
1361,1994,79,4,4
1362,1994,120,4,4
1363,1994,43,4,5
1364,1994,84,4,5
1365,1994,133,4,5
1366,1994,8,4,6
1367,1994,47,4,6
1368,1994,98,4,6
1369,1994,11,4,7
1370,1994,62,4,7
1371,1994,101,4,7
1372,1994,26,4,8
1373,1994,65,4,8
1374,1994,116,4,8
1375,1994,29,4,9
1376,1994,80,4,9
1377,1994,119,4,9
1378,1994,44,4,10
1379,1994,83,4,10
1380,1994,134,4,10
1381,1994,9,4,11
1382,1994,46,4,11
1383,1994,99,4,11
1384,1994,10,4,12
1385,1994,63,4,12
1386,1994,100,4,12
1387,1994,27,4,13
1388,1994,64,4,13
1389,1994,117,4,13
1390,1994,28,4,14
1391,1994,81,4,14
1392,1994,118,4,14
1393,1994,45,4,15
1394,1994,82,4,15
1395,1994,135,4,15
1396,1995,7,6,1
1397,1995,48,6,1
1398,1995,97,6,1
1399,1995,12,6,2
1400,1995,61,6,2
1401,1995,102,6,2
1402,1995,25,6,3
1403,1995,66,6,3
1404,1995,115,6,3
1405,1995,30,6,4
1406,1995,79,6,4
1407,1995,120,6,4
1408,1995,43,6,5
1409,1995,84,6,5
1410,1995,133,6,5
1411,1995,8,6,6
1412,1995,47,6,6
1413,1995,98,6,6
1414,1995,11,6,7
1415,1995,62,6,7
1416,1995,101,6,7
1417,1995,26,6,8
1418,1995,65,6,8
1419,1995,116,6,8
1420,1995,29,6,9
1421,1995,80,6,9
1422,1995,119,6,9
1423,1995,44,6,10
1424,1995,83,6,10
1425,1995,134,6,10
1426,1995,9,6,11
1427,1995,46,6,11
1428,1995,99,6,11
1429,1995,10,6,12
